soldierId,bestSoldierPerc
47734,0.404279756633313
47735,0.488369125308326
47736,0.173598475113481
47737,0.295707201854783
47738,0.288988339962673
47739,0.158730309792241
47740,0.268773153138413
47741,0.25074631618497
47742,0.736450857078623
47743,0.365372911695194
47744,0.756311471162469
47745,0.132485455537002
47746,0.318311310079727
47747,0.385925923676671
47748,0.343541658807337
47749,0.60262776230843
47750,0.694903003848023
47751,0.616346237478152
47752,0.260370828262127
47753,1.03059432210713
47754,0.240838895312931
47755,0.29701420445226
47756,0.207033779279014
47757,1.24729575593193
47758,0.258278655949433
47759,0.413245376753144
47760,0.531309879179949
47761,0.57155157901673
47762,0.740560740813333
47763,0.340015936444411
47764,0.962181336815151
47765,0.870561749742853
47766,0.230749676971128
47767,0.22322458795114
47768,0.627382953166485
47769,0.361024113083508
47770,0.691012802485429
47771,0.374280337929033
47772,0.593720336342098
47773,0.510431208498122
47774,0.191048644008851
47775,0.170570314668013
47776,1.22316353907464
47777,0.432081854718138
47778,0.309347518762824
47779,0.716930621065842
47780,0.460480624810899
47781,0.432516752008623
47782,0.280573840182238
47783,0.637089048956728
47784,0.86726195379861
47785,0.265094866097024
47786,0.161704792680181
47787,0.523738693690895
47788,0.322208546308842
47789,0.242072045997401
47790,0.672952670118683
47791,0.265384844958053
47792,0.639604661890789
47793,0.310384000811581
47794,0.31932277113742
47795,0.926446222803832
47796,0.834619693535703
47797,0.77402280468608
47798,0.266610243721185
47799,0.392383976835177
47800,0.695144516244486
47801,0.534562541392477
47802,0.610221252132793
47803,0.214645522361578
47804,0.45012699155851
47805,0.30241192390014
47806,0.548084064368362
47807,0.245456059808386
47808,1.01326107707204
47809,0.691890688167825
47810,0.228804985548154
47811,0.857203829664161
47812,0.350372832578305
47813,0.25780040777024
47814,0.18971001226419
47815,0.648425546543084
47816,0.205652242654632
47817,0.682934595078839
47818,0.604823141220563
47819,0.247798270814258
47820,0.217703375769062
47821,1.03481257116351
47822,0.201393813845199
47823,0.227188198407173
47824,0.283009576737495
47825,1.17860584699163
47826,0.344985640232107
47827,0.332270797460561
47828,0.654755384773871
47829,0.481272440136399
47830,0.943376525618571
47831,0.646859940249697
47832,0.608156718375353
47833,0.568747556136152
47834,0.770887838622768
47835,0.641054311936781
47836,0.303955191245054
47837,0.768358677737433
47838,0.719250752955072
47839,0.490144506731134
47840,0.239499937113728
47841,0.292891061764471
47842,0.735450025287073
47843,0.669138922311626
47844,0.250190986185308
47845,0.604294323825723
47846,0.287528433708047
47847,0.229331256345567
47848,0.177827945465851
47849,0.750812850392549
47850,0.512620203179328
47851,0.99126098581541
47852,0.908050519422049
47853,0.142147593496642
47854,0.287685449715274
47855,0.604209462211208
47856,0.377996108890969
47857,0.735100048674046
47858,0.22329609020099
47859,0.714188308939032
47860,0.225216066901416
47861,0.785904528566146
47862,0.946953912275665
47863,0.318163089907171
47864,0.193358799850043
47865,1.04788085511348
47866,0.209149958158878
47867,0.484323180757758
47868,0.353998529488111
47869,0.798988888342794
47870,0.358456924974299
47871,0.320740130923386
47872,0.204739047434894
47873,0.919151384671932
47874,0.683748987292066
47875,0.550971555097619
47876,0.29765619467155
47877,0.213936066307137
47878,0.238296429938469
47879,0.248438626639549
47880,0.197338760208261
47881,0.285909935268686
47882,0.293306208565927
47883,0.386949659364306
115925,0.349498046474898
115926,0.496505732149962
115927,0.189086955540016
115928,0.250215101362523
115929,0.234441504675677
115930,0.243510211657514
115931,0.341333673360789
115932,0.242056820231656
115933,0.375281936297036
115934,0.255849981104163
115935,0.303732212574621
115936,0.221760528890405
115937,0.309584867935991
115938,0.288761039722685
115939,0.256656828594769
115940,0.546307164706842
115941,0.870982856651703
115942,0.267183288009249
115943,0.291240456641538
115944,0.949334939640226
115945,0.263611496337461
115946,0.265502807876881
115947,0.303825752391476
115948,1.06167710518735
115949,0.371702831272421
115950,0.239610145182343
115951,0.521826402629538
115952,0.503356469137602
115953,0.767312600916833
115954,0.973373861543529
115955,0.869731812365498
115956,0.773393368184121
115957,0.688753427113956
115958,0.222973259295589
115959,0.708381721905057
115960,1.37208473896404
115961,0.708062469368495
115962,0.242093985873217
115963,0.58846329892186
115964,0.571522386016958
115965,0.351374478401678
115966,0.332972936022345
115967,1.09055526300612
115968,0.407918308437337
115969,0.380373474356869
115970,0.871337457645233
115971,0.462961768710199
115972,0.850629063492927
115973,0.296561943630223
115974,0.752175037391962
115975,0.786322911325518
115976,0.287567203115241
115977,0.230187111862266
115978,0.55602066638312
115979,0.316910455992949
115980,0.245027462272923
115981,0.97379528329149
115982,0.179707966284591
